Iteration,Non-Finetuned,Non-Finetuned Oracle,Finetuned,Finetuned Oracle
0.0,0.0,0.0,31.25,31.25
75.0,15.75,15.75,30.25,34.25
100.0,17.25,20.0,39.25,43.5
265.0,25.0,26.25,45.5,50.24999999999999
420.0,26.75,30.0,50.74999999999999,57.75
500.0,27.750000000000004,32.5,54.0,62.25000000000001
,,,54.75,64.25
,,,53.5,64.75
